Player,Team,Number,Position,Height,Weight,Last Attended,Country
Vince Boryla,NYK,12,F,6-5,210,Denver,USA
Chris Bosh,MIA,1,F,6-11,235,Georgia Tech,USA
Jim Bostic,DET,32,F,6-7,225,New Mexico State,USA
Lawrence Boston,WAS,4,F,6-8,225,Maryland,USA
Brandon Boston Jr.,LAC,4,G,6-6,188,Kentucky,USA
Tom Boswell,BOS,33,F,6-8,220,South Carolina,USA
Chris Boucher,TOR,25,F-C,6-9,200,Oregon,Saint Lucia
James Bouknight,CHA,2,G,6-4,190,Connecticut,USA
Ruben Boumtje-Boumtje,POR,44,C,7-0,257,Georgetown,USA
Jamaree Bouyea,WAS,11,G,6-2,180,San Francisco,USA
Don Boven,DET,13,F,6-4,210,Western Michigan,USA
Cal Bowdler,ATL,6,F,6-10,253,Old Dominion,USA
Bruce Bowen,SAS,12,F,6-7,200,California State-Fullerton,USA
Ryan Bowen,DEN,40,F,6-9,218,Iowa,USA
Brian Bowen II,IND,10,F-G,6-6,190,Sydney Kings,USA
Anthony Bowie,ORL,13,G,6-6,200,Oklahoma,USA
Sam Bowie,BKN,31,C,7-1,235,Kentucky,USA
Ira Bowman,PHI,11,G,6-5,195,Pennsylvania,USA
Ky Bowman,GSW,12,G,6-1,187,Boston College,USA
Nate Bowman,NYK,17,C,6-10,230,Wichita State,USA
Donnie Boyce,ATL,24,G,6-5,195,Colorado,USA
Dennis Boyd,DET,11,G,6-1,175,Detroit,USA
Fred Boyd,PHI,4,G,6-2,180,Oregon State,USA
Ken Boyd,UTA,33,F,6-5,195,Boston University,USA
Earl Boykins,DEN,6,G,5-5,133,Eastern Michigan,USA
Harry Boykoff,WAT,16,C,6-9,225,St. John's (NY),USA
Winford Boynes,BKN,6,G,6-6,185,San Francisco,USA
Cedric Bozeman,ATL,6,G,6-6,207,UCLA,USA
Steve Bracey,ATL,22,G,6-1,175,Tulsa,USA
Craig Brackins,PHI,33,F,6-10,230,Iowa State,USA
Gary Bradds,WAS,33,F,6-8,210,Ohio State,USA
Alex Bradley,NYK,30,F,6-6,215,Villanova,USA
Alonzo Bradley,HOU,22,F,6-6,190,Texas Southern,USA
Avery Bradley,LAL,20,G,6-3,180,Texas-Austin,USA
Bill Bradley,NYK,24,F,6-5,205,Princeton,USA
Charles Bradley,BOS,30,G,6-5,215,Wyoming,USA
Dudley Bradley,IND,22,G,6-6,195,North Carolina,USA
Joe Bradley,CHS,,G,6-3,175,Oklahoma State,USA
Michael Bradley,TOR,5,F,6-10,245,Villanova,USA
Shawn Bradley,DAL,44,C,7-6,275,Brigham Young,USA
Tony Bradley,CHI,13,C-F,6-10,248,North Carolina,USA
Mark Bradtke,PHI,50,C,6-10,265,Melbourne,Australia
Marques Bragg,MIN,33,F,6-8,230,Providence,USA
Torraye Braggs,HOU,32,F,6-8,245,Xavier,USA
A. J.Bramlett,CLE,47,C,6-10,227,Arizona,USA
Adrian Branch,POR,1,F,6-7,185,Maryland,USA
Elton Brand,LAC,42,F,6-9,254,Duke,USA
Terrell Brandon,CLE,7,G,5-11,173,Oregon,USA
Malaki Branham,SAS,22,F,6-4,180,Ohio State,USA
Bob Brannum,BOS,18,F,6-6,215,Michigan State,USA
Brad Branson,IND,52,F,6-10,220,Southern Methodist,USA
Jesse Branson,PHI,22,F,6-7,195,Elon,USA
Jarrell Brantley,UTA,5,F,6-5,250,College of Charleston,USA
Jim Brasco,ATL,15,G,6-1,170,New York University,USA
Mike Bratz,PHX,10,G,6-2,185,Stanford,USA
Carl Braun,NYK,4,G,6-5,180,Colgate,USA
Christian Braun,DEN,0,G,6-6,220,Kansas,USA
Ignas Brazdeikis,ORL,17,F,6-6,221,Michigan,Canada
Tim Breaux,HOU,15,F,6-7,215,Wyoming,USA
J. R.Bremer,BOS,9,G,6-2,185,St. Bonaventure,USA
Pete Brennan,NYK,15-16,F,6-6,205,North Carolina,USA
Tom Brennan,GSW,14,F,6-3,195,Villanova,USA
Randy Breuer,MIL,45,C,7-3,230,Minnesota,USA
Corey Brewer,MIN,13,G-F,6-9,188,Florida,USA
Jamison Brewer,IND,2,G,6-4,184,Auburn,USA
Jim Brewer,CLE,8,F,6-9,210,Minnesota,USA
Ron Brewer,POR,10,G,6-4,180,Arkansas,USA
Ronnie Brewer,UTA,11,F,6-7,235,Arkansas,USA
Primoz Brezec,CHA,9,C,7-1,255,Union Olimpija,Slovenia
Frank Brian,DET,7,G,6-1,180,Louisiana State,USA
Frank Brickowski,MIL,34,C-F,6-9,248,Penn State,USA
Junior Bridgeman,MIL,2,F,6-5,210,Louisville,USA
Bill Bridges,ATL,32,F,6-5,228,Kansas,USA
Mikal Bridges,BKN,1,F,6-6,209,Villanova,USA
Miles Bridges,CHA,0,F,6-7,225,Michigan State,USA
Al Brightman,BOS,8-16,F,6-2,195,University of Charleston,USA
Amida Brimah,IND,37,C,6-10,230,Connecticut,USA
Audley Brindley,NYK,12-15,F,6-4,175,Dartmouth,USA
Isaiah Briscoe,ORL,13,G,6-3,215,Kentucky,USA
John Brisker,OKC,40,F,6-5,210,Toledo,USA
Oshae Brissett,IND,12,F-G,6-7,210,Syracuse,Canada
Allan Bristow,SAS,23,F,6-7,210,Virginia Tech,USA
Tyrone Britt,HOU,31,G,6-4,190,Johnson C. Smith,USA
Wayman Britt,DET,12,G,6-2,185,Michigan,USA
Mike Brittain,SAS,40,C,7-0,235,South Carolina,USA
David Britton,WAS,33,G,6-4,180,Texas A&M,USA
Jon Brockman,MIL,40,F,6-7,255,Washington,USA
Ryan Broekhoff,DAL,45,G-F,6-6,215,Valparaiso,Australia
Jim Brogan,LAC,15,G,6-4,185,West Virginia Wesleyan,USA
Malcolm Brogdon,BOS,13,G,6-4,229,Virginia,USA
Gary Brokaw,MIL,7,G,6-4,178,Notre Dame,USA
Price Brookfield,JET,17,F,6-4,185,West Texas A&M,USA
Aaron Brooks,HOU,30,G,6-0,161,Oregon,USA
Armoni Brooks,ATL,1,G,6-3,195,Houston,USA
Dillon Brooks,MEM,24,G-F,6-6,225,Oregon,Canada
Kevin Brooks,DEN,43,F,6-6,200,Louisiana-Lafayette,USA
Mar ShonBrooks,BKN,8,G-F,6-5,200,Providence,USA
Michael Brooks,LAC,35,F,6-7,220,La Salle,USA
Scott Brooks,HOU,2,G,5-11,165,California-Irvine,USA
Andre Brown,OKC,44,F,6-9,245,DePaul,USA
Anthony Brown,LAL,3,F-G,6-7,224,Stanford,USA
Bob Brown,DN,,F,6-4,205,Miami (Ohio),USA
Bobby Brown,SAC,8,G,6-2,175,Cal State-Fullerton,USA
Bruce Brown,DEN,11,G-F,6-4,202,Miami,USA
Chucky Brown,CLE,52,F,6-8,220,North Carolina State,USA
Damone Brown,PHI,25,G,6-8,202,Syracuse,USA
Darrell Brown,BAL,,F,6-2,175,Humboldt State,USA
Dee Brown,BOS,7,G,6-2,205,Jacksonville,USA
Dee Brown,UTA,11,G,6-0,181,Illinois,USA
Derrick Brown,CHA,4,F,6-8,233,Xavier,USA
Devin Brown,NOP,32,G,6-5,210,Texas-San Antonio,USA
Ernest Brown,MIA,52,C,7-0,244,Indian Hills C.C.,USA
Fred Brown,OKC,32,G,6-3,182,Iowa,USA
George Brown,LAL,,F,6-6,190,Wayne State,USA
Gerald Brown,PHX,4,G,6-4,210,Pepperdine,USA
Harold Brown,DEF,,G,6-0,155,Evansville,USA
Jabari Brown,LAL,15,G,6-5,214,Missouri,USA
Jaylen Brown,BOS,7,G-F,6-6,223,California,USA
John Brown,ATL,32-52,F,6-7,220,Missouri,USA
Kedrick Brown,BOS,5,G-F,6-7,222,Northwest Florida State,USA
Kendall Brown,IND,10,G,6-7,205,Baylor,USA
Kwame Brown,WAS,54,C,6-11,290,Glynn Academy HS (GA),USA
Leon Brown,CLR,,F,6-3,190,Wyoming,USA
Lewis Brown,WAS,4,C,6-11,225,UNLV,USA
Lorenzo Brown,TOR,4,G,6-5,189,North Carolina State,USA
Marcus Brown,POR,20,G,6-3,185,Murray State,USA
Markel Brown,BKN,26,G,6-3,190,Oklahoma State,USA
Mike Brown,UTA,52,C-F,6-10,260,George Washington,USA
Moses Brown,BKN,6,C,7-2,245,UCLA,USA
Myron Brown,MIN,34,F,6-3,180,Slippery Rock,USA
P. J.Brown,NOP,93.0,F-C,6-11,239,Louisiana Tech,USA
Randy Brown,CHI,0.0,G,6-2,190,New Mexico State,USA
Raymond Brown,UTA,24.0,F,6-8,220,Idaho,USA
Rickey Brown,GSW,31.0,C,6-10,215,Mississippi State,USA
Roger Brown,DET,35.0,C,6-11,225,Kansas,USA
Shannon Brown,LAL,26.0,G,6-4,210,Michigan State,USA
Stan Brown,GSW,14.0,F,6-3,200,South Philadelphia HS (PA),USA
Sterling Brown,LAL,0.0,G-F,6-5,219,Southern Methodist,USA
Tierre Brown,LAL,10.0,G,6-2,189,McNeese State,USA
Tony Brown,MIL,21.0,F,6-6,185,Arkansas,USA
Greg Brown III,POR,4.0,F,6-7,206,Texas,USA
Charlie Brown Jr.,PHI,16.0,G,6-6,199,St. Joseph's (PA),USA
Chaundee Brown Jr.,ATL,38.0,F,6-5,215,Michigan,USA
Troy Brown Jr.,LAL,7.0,G-F,6-7,215,Oregon,USA
Jim Browne,DN,,C,6-10,235,Tilden Tech HS (IL),USA
Stanley Brundy,BKN,21.0,F,6-6,210,DePaul,USA
Jalen Brunson,NYK,11.0,G,6-2,190,Villanova,USA
Rick Brunson,POR,9.0,G,6-4,190,Temple,USA
Nicolas Brussino,DAL,9.0,F,6-8,215,Penarol,Argentina
Elijah Bryant,MIL,3.0,G,6-5,210,Brigham Young,USA
Emmette Bryant,NYK,7.0,G,6-1,175,DePaul,USA
Joe Bryant,PHI,22.0,F,6-10,185,La Salle,USA
Kobe Bryant,LAL,24.0,F-G,6-6,212,Lower Merion HS (PA),USA
Mark Bryant,POR,9.0,F,6-9,250,Seton Hall,USA
Thomas Bryant,DEN,13.0,C-F,6-10,248,Indiana,USA
Wallace Bryant,DAL,31.0,C,7-0,245,San Francisco,USA
Torgeir Bryn,LAC,12.0,F,6-9,250,Texas State,Norway
Shaq Buchanan,MEM,,G,6-3,190,Murray State,USA
Joe Buckhalter,SAC,21.0,F,6-7,210,Tennessee State,USA
Steve Bucknall,LAL,24.0,F,6-6,215,North Carolina,USA
Cleveland Buckner,NYK,12.0,F,6-9,210,Jackson State,USA
Greg Buckner,DAL,7.0,G,6-4,210,Clemson,USA
Quinn Buckner,MIL,25.0,G,6-3,190,Indiana,USA
Dave Budd,NYK,10.0,F,6-6,205,Wake Forest,USA
Chase Budinger,HOU,10.0,F,6-7,209,Arizona,USA
Walter Budko,BAL,19.0,F,6-5,220,Columbia,USA
Jud Buechler,CHI,30.0,G-F,6-6,228,Arizona,USA
Rodney Buford,BKN,2.0,F-G,6-5,195,Creighton,USA
Matt Bullard,HOU,50.0,F,6-10,229,Iowa,USA
Reggie Bullock,DAL,25.0,G-F,6-6,205,North Carolina,USA
Greg Bunch,NYK,30.0,F,6-6,190,California State-Fullerton,USA
Dick Bunt,BAL,,G,6-0,170,New York University,USA
Bill Buntin,DET,17.0,C,6-7,250,Michigan,USA
Luther Burden,NYK,14.0,G,6-2,185,Utah,USA
Pat Burke,PHX,11.0,C-F,6-11,250,Auburn,Ireland
Trey Burke,DAL,3.0,G,6-0,185,Michigan,USA
Roger Burkman,CHI,21.0,G,6-5,175,Louisville,USA
Alec Burks,DET,5.0,G,6-6,214,Colorado,USA
Antonio Burks,MEM,1.0,G,6-0,195,Memphis,USA
Kevin Burleson,CHA,12.0,G,6-3,205,Minnesota,USA
Tom Burleson,OKC,16.0,C,7-2,225,North Carolina State,USA
Jack Burmaster,SHE,,G,6-3,190,Illinois,USA
David Burns,DEN,5.0,G,6-2,180,St. Louis,USA
Evers Burns,SAC,53.0,F,6-8,260,Maryland,USA
Jim Burns,CHI,6.0,G,6-3,195,Northwestern,USA
Scott Burrell,CHA,2.0,G,6-7,218,Connecticut,USA
Art Burris,ATL,15.0,F,6-5,220,Tennessee,USA
Junior Burrough,BOS,5.0,F,6-8,242,Virginia,USA
Bob Burrow,SAC,50.0,C,6-7,228,Kentucky,USA
Deonte Burton,OKC,30.0,G-F,6-4,240,Iowa State,USA
Ed Burton,NYK,34.0,F,6-6,225,Michigan State,USA
Willie Burton,MIA,9.0,F,6-8,210,Minnesota,USA
Steve Burtt,GSW,15.0,G,6-2,185,Iona,USA
Don Buse,PHX,10.0,G,6-4,190,Evansville,USA
Brian Butch,DEN,43.0,C,6-11,240,Wisconsin,USA
Donnie Butcher,DET,24.0,G,6-2,200,Pikeville,USA
Al Butler,NYK,20.0,G,6-2,175,Niagara,USA
Caron Butler,WAS,31.0,F,6-7,228,Connecticut,USA
Da' SeanButler,SAS,1.0,F,6-7,230,West Virginia,USA
Greg Butler,NYK,45.0,C,6-11,240,Stanford,USA
Jackie Butler,NYK,45.0,C,6-10,260,Coastal Christian Academy (VA),USA
Jared Butler,OKC,14.0,G,6-3,193,Baylor,USA
Jimmy Butler,MIA,22.0,F,6-7,230,Marquette,USA
Mitchell Butler,WAS,32.0,G,6-5,210,UCLA,USA
Rasual Butler,NOP,8.0,F,6-7,215,La Salle,USA
John Butler Jr.,POR,21.0,F,7-0,190,Florida State,USA
Dwight Buycks,DET,20.0,G,6-3,190,Marquette,USA
Derrick Byars,SAS,34.0,G-F,6-7,220,Vanderbilt,USA
Andrew Bynum,LAL,17.0,C,7-0,285,St. Joseph HS (NJ),USA
Will Bynum,DET,1.0,G,6-0,185,Georgia Tech,USA
Marty Byrnes,IND,11.0,F,6-7,215,Syracuse,USA
Tommy Byrnes,NYK,12.0,G,6-3,175,Seton Hall,USA
Mike Bytzura,PIT,,F,6-1,170,Long Island-Brooklyn,USA
Zarko Cabarkapa,GSW,11.0,F-C,6-11,230,Buducnost,Serbia
Barney Cable,PHI,35.0,F,6-7,175,Bradley,USA
Bruno Caboclo,HOU,5.0,F,6-9,218,Pinheiros,Brazil
Devontae Cacok,POR,18.0,F,6-7,240,UNC-Wilmington,USA
Jason Caffey,CHI,35.0,F,6-8,256,Alabama,USA
Michael Cage,OKC,45.0,F-C,6-9,248,San Diego State,USA
Jamal Cain,MIA,8.0,F,6-6,191,Oakland,USA
Gerry Calabrese,PHI,13.0,G,6-1,175,St. John's (NY),USA
Nick Calathes,MEM,12.0,G,6-6,213,Florida,USA
Jose Calderon,TOR,81.0,G,6-3,200,Tau Ceramica,Spain
Adrian Caldwell,HOU,45.0,F,6-8,265,Lamar,USA
Jim Caldwell,NYK,23.0,C,6-10,240,Georgia Tech,USA
Joe Caldwell,ATL,27.0,F,6-5,195,Arizona State,USA
Kentavious Caldwell-Pope,DEN,5.0,G,6-5,204,Georgia,USA
Bill Calhoun,ATL,3.0,F,6-3,180,CC of San Francisco,USA
Corky Calhoun,PHX,10.0,F,6-7,210,Pennsylvania,USA
Demetrius Calip,LAL,7.0,G,6-1,165,Michigan,USA
Tom Callahan,PRO,,G,6-1,180,Rockhurst,USA
Rick Calloway,SAC,4,G,6-6,180,Kansas,USA
Ernie Calverley,PRO,,G,5-10,145,Rhode Island,USA
Mack Calvin,DEN,21,G,6-0,165,Southern California,USA
Dexter Cambridge,DAL,30,F,6-7,224,Texas-Austin,USA
Marcus Camby,DEN,23,C-F,6-11,240,Massachusetts,USA
Facundo Campazzo,DAL,7,G,5-10,195,Murcia,Argentina
Elden Campbell,LAL,41,C-F,7-0,279,Clemson,USA
Tony Campbell,MIN,9,F,6-7,215,Ohio State,USA
Isaiah Canaan,PHI,0,G,6-0,201,Murray State,USA
Vlatko Cancar,DEN,31,F,6-8,236,San Pablo Burgos,Slovenia
Devin Cannady,ORL,30,G,6-2,183,Princeton,USA
Larry Cannon,PHI,14,G,6-4,195,La Salle,USA
Clint Capela,ATL,15,C,6-10,256,Elan Chalon,Switzerland
Derrick Caracter,LAL,45,F,6-9,275,Texas-El Paso,USA
Brian Cardinal,MEM,35,F,6-8,240,Purdue,USA
Vernon Carey Jr.,WAS,22,F-C,6-9,270,Duke,USA
Howie Carl,WAS,10,G,5-9,160,DePaul,USA
Chet Carlisle,CHS,,F,6-5,195,California,USA
Geno Carlisle,POR,4,G,6-3,200,California,USA
Rick Carlisle,BOS,12,G,6-5,210,Virginia,USA
Al Carlson,OKC,35,C,6-11,235,Oregon,USA
Don Carlson,LAL,15,G,6-0,170,Minnesota,USA
Bob Carney,LAL,18,C,6-3,170,Bradley,USA
Rodney Carney,PHI,25,F,6-7,205,Memphis,USA
Bob Carpenter,DET,10-15,F,6-5,200,Texas A&M-Commerce,USA
Antoine Carr,ATL,55,F,6-9,270,Wichita State,USA
Austin Carr,CLE,34,G,6-4,200,Notre Dame,USA
Chris Carr,MIN,43,G,6-6,220,Southern Illinois,USA
Cory Carr,CHI,21,G,6-4,210,Texas Tech,USA
Kenny Carr,POR,34,F,6-7,220,North Carolina State,USA
M. L.Carr,BOS,30,F,6-6,205,Guilford,USA
Bob Carrington,BKN,30,G,6-6,195,Boston College,USA
De MarreCarroll,ATL,9,F,6-6,215,Missouri,USA
Joe  BarryCarroll,GSW,2,C,7-0,225,Purdue,USA
Matt Carroll,CHA,33,G,6-6,212,Notre Dame,USA
Jimmy Carruth,MIL,40,F,6-10,265,Virginia Tech,USA
Anthony Carter,MIA,25,G,6-2,195,Hawaii,USA
Butch Carter,IND,12,G,6-5,180,Indiana,USA
Fred Carter,PHI,3-5,G,6-3,185,Mount St. Mary's,USA
George Carter,DET,12,F,6-4,210,St. Bonaventure,USA
Howard Carter,DEN,32,G,6-5,215,Louisiana State,USA
Jake Carter,DN,,,,,Texas A&M-Commerce,USA
Jevon Carter,MIL,5,G,6-1,200,West Virginia,USA
Maurice Carter,NOP,5,G,6-5,210,Louisiana State,USA
Reggie Carter,NYK,35,G,6-3,175,St. John's (NY),USA
Ron Carter,LAL,13,G,6-5,190,Virginia Military Institute,USA
Vince Carter,TOR,15,G-F,6-6,220,North Carolina,USA
Wendell Carter Jr.,ORL,34,C-F,6-10,270,Duke,USA
Michael Carter-Williams,ORL,11,G,6-5,190,Syracuse,USA
Bill Cartwright,NYK,24.0,C,7-1,245,San Francisco,USA
Jay Carty,LAL,52.0,F,6-7,220,Oregon State,USA
Alex Caruso,CHI,6.0,G,6-5,186,Texas A&M,USA
Cornelius Cash,DET,45.0,F,6-8,215,Bowling Green,USA
Sam Cassell,MIL,28.0,G,6-3,185,Florida State,USA
Omri Casspi,SAC,18.0,F,6-9,225,Maccabi Tel Aviv,Israel
Harvey Catchings,MIL,42.0,C,6-9,218,Hardin-Simmons,USA
Terry Catledge,WAS,33.0,F,6-8,220,South Alabama,USA
Sid Catlett,SAC,43.0,F,6-6,230,Notre Dame,USA
Kelvin Cato,HOU,26.0,C,6-11,275,Iowa State,USA
Bobby Cattage,UTA,45.0,F,6-9,250,Auburn,USA
Willie Cauley-Stein,PHI,33.0,C,7-0,240,Kentucky,USA
Troy Caupain,ORL,3.0,G,6-4,210,Cincinnati,USA
Duane Causwell,SAC,4.0,C,7-0,255,Temple,USA
Tyler Cavanaugh,ATL,34.0,F,6-9,238,George Washington,USA
Ron Cavenall,NYK,40.0,C,7-1,230,Texas Southern,USA
Ahmad Caver,IND,,G,6-2,174,Old Dominion,USA
Cedric Ceballos,PHX,23.0,F,6-7,220,California State-Fullerton,USA
John Celestand,LAL,20.0,G,6-3,190,Villanova,USA
Al Cervi,PHI,15.0,G,5-11,170,East HS (NY),USA
Lionel Chalmers,LAC,0.0,G,6-0,180,Xavier,USA
Mario Chalmers,MIA,6.0,G,6-2,190,Kansas,USA
Bill Chamberlain,PHX,24.0,F,6-6,188,North Carolina,USA
Wilt Chamberlain,GSW,13.0,C,7-1,250,Kansas,USA
Jerry Chambers,PHX,40.0,F,6-5,185,Utah,USA
Tom Chambers,OKC,24.0,F,6-10,220,Utah,USA
Julian Champagnie,SAS,30.0,F,6-7,217,St. John's,USA
Justin Champagnie,TOR,11.0,G-F,6-6,206,Pittsburgh,USA
Mike Champion,OKC,41.0,F,6-10,230,Gonzaga,USA
Kennedy Chandler,MEM,1.0,G,5-11,170,Tennessee,USA
Tyson Chandler,NYK,6.0,C,7-0,235,Dominguez HS (CA),USA
Wilson Chandler,DEN,21.0,F,6-8,235,DePaul,USA
Don Chaney,BOS,12.0,G,6-5,210,Houston,USA
John Chaney,SHE,,,,,Louisiana State,USA
Rex Chapman,PHX,3.0,G,6-4,195,Kentucky,USA
Len Chappell,NYK,25.0,F,6-8,240,Wake Forest,USA
Ken Charles,LAC,44.0,G,6-3,180,Fordham,USA
Lorenzo Charles,ATL,43.0,F,6-7,225,North Carolina State,USA
Joe Chealey,CHA,31.0,G,6-3,190,College of Charleston,USA
Calbert Cheaney,WAS,40.0,G-F,6-7,210,Indiana,USA
Zylan Cheatham,NOP,45.0,F,6-5,220,Arizona State,USA
Maurice Cheeks,PHI,10.0,G,6-1,180,West Texas A&M,USA
Phil Chenier,WAS,15.0,G,6-3,180,California,USA
Will Cherry,CLE,,,,,Montana,USA
Derrick Chievous,HOU,33.0,F,6-7,195,Missouri,USA
Pete Chilcutt,MEM,24.0,F,6-10,245,North Carolina,USA
Josh Childress,ATL,1.0,F,6-8,210,Stanford,USA
Randolph Childress,POR,12.0,G,6-2,188,Wake Forest,USA
Chris Childs,NYK,,G,6-3,195,Boise State,USA
Chris Chiozza,BKN,2.0,G,5-11,175,Florida,USA
Leroy Chollet,PHI,11.0,F,6-2,190,Canisius,USA
Jim Chones,CLE,9.0,C,6-11,220,Marquette,USA
Marquese Chriss,DAL,35.0,F,6-9,240,Washington,USA
Fred Christ,NYK,9.0,G,6-4,210,Fordham,USA
Cal Christensen,SAC,18.0,F,6-5,210,Toledo,USA
Bob Christian,ATL,31.0,C,6-10,255,Grambling,USA
Doug Christie,SAC,13.0,G-F,6-6,205,Pepperdine,USA
Max Christie,LAL,10.0,G,6-5,190,Michigan State,USA
Dionte Christmas,PHX,25.0,G,6-5,205,Temple,USA
Rakeem Christmas,IND,25.0,F,6-9,250,Syracuse,USA
Semaj Christon,OKC,6.0,G,6-3,190,Xavier,USA
Josh Christopher,HOU,9.0,G,6-4,215,Arizona State,USA
Patrick Christopher,UTA,,,,,California,USA
Robert Churchwell,GSW,21.0,F,6-6,195,Georgetown,USA
Archie Clark,PHI,11.0,G,6-2,175,Minnesota,USA
Carlos Clark,BOS,40.0,G,6-4,210,Mississippi,USA
Earl Clark,ORL,55.0,F,6-10,234,Louisville,USA
Gary Clark,NOP,12.0,F,6-6,225,Cincinnati,USA
Ian Clark,GSW,2.0,G,6-3,175,Belmont,USA
Keon Clark,DEN,13.0,C-F,6-11,221,UNLV,USA
Brandon Clarke,MEM,15.0,F,6-8,215,Gonzaga,Canada
Coty Clarke,BOS,63.0,F,6-7,225,Arkansas,USA
Jordan Clarkson,UTA,0.0,G,6-5,194,Missouri,USA
Gian Clavell,DAL,8.0,G,6-4,185,Colorado State,Puerto Rico
Victor Claver,POR,18.0,F,6-9,224,Valencia,Spain
Charles Claxton,BOS,51.0,C,7-0,265,Georgia,USA
Nic Claxton,BKN,33.0,C,6-11,215,Georgia,USA
Speedy Claxton,GSW,12.0,G,5-11,170,Hofstra,USA
Jim Cleamons,CLE,35.0,G,6-3,185,Ohio State,USA
Mateen Cleaves,DET,24.0,G,6-2,210,Michigan State,USA
John Clemens,OKC,40.0,F,6-6,210,Ohio Wesleyan,USA
Chris Clemons,HOU,3.0,G,5-9,180,Campbell University,USA
Antonius Cleveland,DAL,3.0,G,6-5,195,S.E. Missouri,USA
Nat Clifton,NYK,24.0,C,6-6,220,Xavier of Louisiana,USA
Bill Closs,GSW,14.0,F,6-6,195,Rice,USA
Keith Closs,LAC,33.0,C,7-3,212,Central Connecticut State,USA
Paul Cloyd,WAT,,,,,Wisconsin,USA
Marion Cluggish,NYK,3.0,C,6-10,235,Kentucky,USA
Ben Clyde,BOS,33.0,F,6-7,198,Florida State,USA
Amir Coffey,LAC,7.0,G-F,6-7,210,Minnesota,USA
Richard Coffey,MIN,33.0,G,6-6,212,Minnesota,USA
Fred Cofield,NYK,11.0,G,6-3,190,Eastern Michigan,USA
John Coker,WAS,51.0,C,7-0,253,Boise State,USA
Norris Cole,MIA,30.0,G,6-2,175,Cleveland State,USA
Ben Coleman,PHI,51.0,F,6-9,235,Maryland,USA
Derrick Coleman,BKN,44.0,C-F,6-10,270,Syracuse,USA
E. C.Coleman,UTA,12.0,F,6-8,225,Houston Baptist,USA
Jack Coleman,SAC,11.0,F,6-7,195,Louisville,USA
Norris Coleman,LAC,45.0,F,6-8,210,Kansas State,USA
Bimbo Coles,MIA,12.0,G,6-2,182,Virginia Tech,USA
Jason Collier,ATL,40,C,7-0,260,Georgia Tech,USA
Art Collins,ATL,44,G,6-4,185,St. Thomas (FL),USA
Don Collins,WAS,12,G,6-6,190,Washington State,USA
Doug Collins,PHI,20,G,6-6,180,Illinois State,USA
James Collins,LAC,32,G,6-4,196,Florida State,USA
Jarron Collins,UTA,20,C,6-11,249,Stanford,USA
Jason Collins,BKN,98,C,7-0,255,Stanford,USA
Jimmy Collins,CHI,22,G,6-2,175,New Mexico State,USA
John Collins,ATL,20,F-C,6-9,226,Wake Forest,USA
Mardy Collins,NYK,25,G,6-6,220,Temple,USA
Sherron Collins,CHA,11,G,5-11,205,Kansas,USA
Zach Collins,SAS,23,F-C,6-11,250,Gonzaga,USA
Kyle Collinsworth,DAL,8,G,6-6,210,Brigham Young,USA
Darren Collison,LAL,2,G,6-0,175,UCLA,USA
Nick Collison,OKC,4,F-C,6-10,255,Kansas,USA
Joe Colone,NYK,18,F,6-5,210,Bloomsburg,USA
Bonzie Colson,MIL,50,F,6-6,225,Notre Dame,USA
Sean Colson,HOU,3,G,6-0,175,North Carolina-Charlotte,USA
Steve Colter,WAS,5,G,6-3,165,New Mexico State,USA
Leroy Combs,IND,34,F,6-8,210,Oklahoma State,USA
Dallas Comegys,BKN,22,C,6-9,205,DePaul,USA
Larry Comley,WAS,52,G,6-5,210,Kansas State,USA
Gene Conley,BOS,5,C,6-8,225,Washington State,USA
Mike Conley,MIN,10,G,6-1,175,Ohio State,USA
Ed Conlin,PHI,7,F,6-6,200,Fordham,USA
Marty Conlon,MIL,40,F,6-11,245,Providence,USA
Pat Connaughton,MIL,24,G,6-5,209,Notre Dame,USA
Lester Conner,GSW,7,G,6-4,180,Oregon State,USA
Chuck Connors,BOS,11,F,6-5,190,Seton Hall,USA
Will Conroy,HOU,10,G,6-2,195,Washington,USA
Anthony Cook,DEN,38,F,6-9,205,Arizona,USA
Bert Cook,NYK,5,G,6-3,185,Utah State,USA
Bobby Cook,SHE,,G,5-10,155,Wisconsin,USA
Brian Cook,LAL,43,C-F,6-9,250,Illinois,USA
Daequan Cook,MIA,14,G,6-5,210,Ohio State,USA
Darwin Cook,BKN,1,G,6-3,184,Portland,USA
Jeff Cook,PHX,45,F,6-10,215,Idaho State,USA
Norm Cook,BOS,30-52,F,6-8,210,Kansas,USA
Omar Cook,POR,1,G,6-1,190,St. John's (NY),USA
Quinn Cook,SAC,28,G,6-1,180,Duke,USA
Tyler Cook,CHI,25,F,6-8,255,Iowa,USA
Charles Cooke,NOP,4,G,6-5,196,Dayton,USA
David Cooke,SAC,14,F,6-8,230,St. Mary's (CA),USA
Joe Cooke,CLE,10,G,6-3,175,Indiana,USA
Xavier Cooks,WAS,,,,,-,
Jack Cooley,UTA,45,C-F,6-10,274,Notre Dame,USA
Chuck Cooper,BOS,6,F,6-5,210,Duquesne,USA
Duane Cooper,LAL,10,G,6-1,185,Southern California,USA
Joe Cooper,LAC,53,C,6-10,230,Colorado,USA
Michael Cooper,LAL,21,G,6-7,170,New Mexico,USA
Sharife Cooper,CLE,2.0,G,6-1,176,Auburn,USA
